"","participant","fan","team","testType","testTime","PC"
"395",19,"FCB","BVB","KritSit",2,0.666666666666667
"396",20,"FCB","BVB","KritSit",2,0
"397",22,"FCB","BVB","KritSit",2,0.444444444444444
"398",26,"FCB","BVB","KritSit",2,0.714285714285714
"399",31,"FCB","BVB","KritSit",2,0.692307692307692
"400",35,"FCB","BVB","KritSit",2,0.722222222222222
"401",39,"FCB","BVB","KritSit",2,0.727272727272727
"402",41,"FCB","BVB","KritSit",2,0.65
"403",43,"FCB","BVB","KritSit",2,0.705882352941177
"404",47,"FCB","BVB","KritSit",2,0.727272727272727
"405",48,"FCB","BVB","KritSit",2,0.8
"406",50,"FCB","BVB","KritSit",2,0.588235294117647
"407",51,"FCB","BVB","KritSit",2,0.583333333333333
"408",53,"FCB","BVB","KritSit",2,0.5
"409",55,"FCB","BVB","KritSit",2,0.631578947368421
"410",56,"FCB","BVB","KritSit",2,0.631578947368421
"411",57,"FCB","BVB","KritSit",2,0.4
"412",59,"FCB","BVB","KritSit",2,0.466666666666667
"413",61,"FCB","BVB","KritSit",2,0.541666666666667
"414",1,"BVB","FCB","KritSit",2,0.833333333333333
"415",3,"BVB","FCB","KritSit",2,1
"416",5,"BVB","FCB","KritSit",2,0.857142857142857
"417",7,"BVB","FCB","KritSit",2,0.8
"418",23,"BVB","FCB","KritSit",2,1
"419",24,"BVB","FCB","KritSit",2,0.5
"420",25,"BVB","FCB","KritSit",2,1
"421",28,"BVB","FCB","KritSit",2,0.75
"422",29,"BVB","FCB","KritSit",2,0.666666666666667
"423",30,"BVB","FCB","KritSit",2,0.714285714285714
"424",32,"BVB","FCB","KritSit",2,0.636363636363636
"425",33,"BVB","FCB","KritSit",2,0.727272727272727
"426",34,"BVB","FCB","KritSit",2,0.55
"427",36,"BVB","FCB","KritSit",2,1
"428",38,"BVB","FCB","KritSit",2,0.642857142857143
"429",40,"BVB","FCB","KritSit",2,0.571428571428571
"430",44,"BVB","FCB","KritSit",2,0.75
"431",52,"BVB","FCB","KritSit",2,0.615384615384615
"432",58,"BVB","FCB","KritSit",2,0.818181818181818
"433",60,"BVB","FCB","KritSit",2,0.692307692307692
"434",2,"FCB","FCB","KritSit",2,0.75
"435",4,"FCB","FCB","KritSit",2,0
"436",6,"FCB","FCB","KritSit",2,0.636363636363636
"437",8,"FCB","FCB","KritSit",2,0.384615384615385
"438",10,"FCB","FCB","KritSit",2,0.727272727272727
"439",11,"FCB","FCB","KritSit",2,0.555555555555556
"440",12,"FCB","FCB","KritSit",2,0.5
"441",13,"FCB","FCB","KritSit",2,0.6875
"442",14,"FCB","FCB","KritSit",2,0.666666666666667
"443",15,"FCB","FCB","KritSit",2,0.75
"444",17,"FCB","FCB","KritSit",2,0.875
"445",18,"FCB","FCB","KritSit",2,0.666666666666667
"446",19,"FCB","FCB","KritSit",2,1
"447",20,"FCB","FCB","KritSit",2,1
"448",22,"FCB","FCB","KritSit",2,0.444444444444444
"449",26,"FCB","FCB","KritSit",2,0.545454545454545
"450",31,"FCB","FCB","KritSit",2,0.692307692307692
"451",35,"FCB","FCB","KritSit",2,0.666666666666667
"452",39,"FCB","FCB","KritSit",2,0.777777777777778
"453",41,"FCB","FCB","KritSit",2,0.533333333333333
"454",43,"FCB","FCB","KritSit",2,0.416666666666667
"455",47,"FCB","FCB","KritSit",2,0.647058823529412
"456",48,"FCB","FCB","KritSit",2,0.75
"457",50,"FCB","FCB","KritSit",2,0.6
"458",51,"FCB","FCB","KritSit",2,0.916666666666667
"459",53,"FCB","FCB","KritSit",2,0.25
"460",55,"FCB","FCB","KritSit",2,0.733333333333333
"461",56,"FCB","FCB","KritSit",2,0.625
"462",57,"FCB","FCB","KritSit",2,0.5
"463",59,"FCB","FCB","KritSit",2,0.636363636363636
"464",61,"FCB","FCB","KritSit",2,0.6
"465",1,"BVB","BVB","Tor",2,0.8
"466",3,"BVB","BVB","Tor",2,0.625
"467",5,"BVB","BVB","Tor",2,0.5
"468",7,"BVB","BVB","Tor",2,0.857142857142857
"469",23,"BVB","BVB","Tor",2,1
"470",24,"BVB","BVB","Tor",2,0.833333333333333
"471",25,"BVB","BVB","Tor",2,0
"472",28,"BVB","BVB","Tor",2,0.714285714285714
"473",29,"BVB","BVB","Tor",2,1
"474",30,"BVB","BVB","Tor",2,0.75
"475",32,"BVB","BVB","Tor",2,0.714285714285714
"476",33,"BVB","BVB","Tor",2,1
"477",34,"BVB","BVB","Tor",2,0.888888888888889
"478",36,"BVB","BVB","Tor",2,0.75
"479",38,"BVB","BVB","Tor",2,1
"480",40,"BVB","BVB","Tor",2,1
"481",44,"BVB","BVB","Tor",2,0.333333333333333
